codelist,datatype,order,term,decode
AECAUS,text,1,NONE,NONE
AECAUS,text,2,POSSIBLE,POSSIBLE
AECAUS,text,3,PROBABLE,PROBABLE
AECAUS,text,4,REMOTE,REMOTE
AGESPAN,text,1,CHILDREN (2-11 YEARS),CHILDREN (2-11 YEARS)
AGESPAN,text,2,ADOLESCENT (12-17 YEARS),ADOLESCENT (12-17 YEARS)
AGESPAN,text,3,ADULT (18-65),ADULT (18-65)
AGESPAN,text,4,ELDERLY (> 65),ELDERLY (> 65)
AGEU,text,1,YEARS,YEARS
ARM,text,1,Screen Failure,Screen Failure
ARM,text,2,Placebo,Placebo
ARM,text,3,Xanomeline Low Dose,Xanomeline Low Dose
ARM,text,4,Xanomeline High Dose,Xanomeline High Dose
ARMCD,text,1,Scrnfail,Screen Failure
ARMCD,text,2,Pbo,Placebo
ARMCD,text,3,Xan_Lo,Xanomeline Low Dose
ARMCD,text,4,Xan_Hi,Xanomeline High Dose
CIBIC,integer,1,1,Marked improvement
CIBIC,integer,2,2,Moderate improvement
CIBIC,integer,3,3,Minimal improvement
CIBIC,integer,4,4,No Change
CIBIC,integer,5,5,Minimal worsening
CIBIC,integer,6,6,Moderate worsening
CIBIC,integer,7,7,Marked worsening
CMFREQ,text,1,BID,BID
CMFREQ,text,2,EVERY MORNING,EVERY MORNING
CMFREQ,text,3,EVERY NIGHT,EVERY NIGHT
CMFREQ,text,4,ONCE,ONCE
CMFREQ,text,5,OTHER,OTHER
CMFREQ,text,6,PRN,PRN
CMFREQ,text,7,Q3H,Q3H
CMFREQ,text,8,Q4H,Q4H
CMFREQ,text,9,Q6H,Q6H
CMFREQ,text,10,Q4S,Q4S
CMFREQ,text,11,QD,QD
CMFREQ,text,12,QID,QID
CMFREQ,text,13,QM,QM
CMFREQ,text,14,QOD,QOD
CMFREQ,text,15,QS,QS
CMFREQ,text,16,TID,TID
CMFREQ,text,17,TIS,TIS
CMFREQ,text,18,TWICE,TWICE
CMROUTE,text,1,AURICULAR (OTIC),AURICULAR (OTIC)
CMROUTE,text,2,INTRAMUSCULAR,INTRAMUSCULAR
CMROUTE,text,3,INTRAVENOUS,INTRAVENOUS
CMROUTE,text,4,NASAL,NASAL
CMROUTE,text,5,OPHTHALMIC,OPHTHALMIC
CMROUTE,text,6,ORAL,ORAL
CMROUTE,text,7,RESPIRATORY (INHALATION),RESPIRATORY (INHALATION)
CMROUTE,text,8,RECTAL,RECTAL
CMROUTE,text,9,SUBCUTANEOUS,SUBCUTANEOUS
CMROUTE,text,10,SUBLINGUAL,SUBLINGUAL
CMROUTE,text,11,TOPICAL,TOPICAL
CMROUTE,text,12,TRANSDERMAL,TRANSDERMAL
CMROUTE,text,13,VAGINAL,VAGINAL
COLOR,text,1,N,Normal
COLOR,text,2,A,Abnormal
COUNTRY,text,1,USA,USA
DISCCD,text,1,COMPLETED,COMPLETED
DISCCD,text,2,ADVERSE EVENT,ADVERSE EVENT
DISCCD,text,3,DEATH,DEATH
DISCCD,text,4,LACK OF EFFICACY,LACK OF EFFICACY
DISCCD,text,5,LOST TO FOLLOW-UP,LOST TO FOLLOW-UP
DISCCD,text,6,WITHDRAWAL BY SUBJECT,WITHDRAWAL BY SUBJECT
DISCCD,text,7,SCREEN FAILURE,SCREEN FAILURE
DISCCD,text,8,STUDY TERMINATED BY SPONSOR,STUDY TERMINATED BY SPONSOR
DISCCD,text,9,PHYSICIAN DECISION,PHYSICIAN DECISION
DISCCD,text,10,PROTOCOL VIOLATION,PROTOCOL VIOLATION
DISCCD,text,11,FINAL LAB VISIT,FINAL LAB VISIT
DISCCD,text,12,FINAL RETRIEVAL VISIT,FINAL RETRIEVAL VISIT
DISTSC,integer,1,0,0
DISTSC,integer,2,1,1
DISTSC,integer,3,2,2
DISTSC,integer,4,3,3
DISTSC,integer,5,4,4
DISTSC,integer,6,5,5
DSCAT,text,1,DISPOSITION EVENT,DISPOSITION EVENT
DSCAT,text,2,OTHER EVENT,OTHER EVENT
ELEMENT,text,1,Screen,Screen
ELEMENT,text,2,Placebo,Placebo
ELEMENT,text,3,Low,Low
ELEMENT,text,4,High_Start,High_Start
ELEMENT,text,5,High_Middle,High_Middle
ELEMENT,text,6,High_End,High_End
ELEMENT,text,7,Follow_up,Follow_up
EPOCH,text,1,Screening,Screening
EPOCH,text,2,Treatment,Treatment
ETCD,text,1,SCRN,Screen
ETCD,text,2,PBO,Placebo
ETCD,text,3,LO,Low
ETCD,text,4,HIS,High_Start
ETCD,text,5,HIM,High_Middle
ETCD,text,6,HIE,High_End
ETCD,text,7,FOLO,Follow_up
ETCD,text,8,UNPLAN,Unplanned
ETHNIC,text,1,NOT HISPANIC OR LATINO,NOT HISPANIC OR LATINO
ETHNIC,text,2,HISPANIC OR LATINO,HISPANIC OR LATINO
EXDOSEU,text,1,mg,mg
EXDOSFRM,text,1,PATCH,PATCH
EXFREQ,text,1,QD,QD
EXROUTE,text,1,TRANSDERMAL,TRANSDERMAL
EXTRT,text,1,PLACEBO,PLACEBO
EXTRT,text,2,XANOMELINE,XANOMELINE
