dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
TA,Trial Arms,One record per planned Element per Arm,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
TA,Trial Arms,One record per planned Element per Arm,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
TA,Trial Arms,One record per planned Element per Arm,3,ARMCD,Planned Arm Code,Char,text,8,2,Yes,TOPIC,ARMCD,Assigned,,,
TA,Trial Arms,One record per planned Element per Arm,4,ARM,Description of Planned Arm,Char,text,20,,Yes,SYNONYM QUALIFIER,ARM,Protocol,,,
TA,Trial Arms,One record per planned Element per Arm,5,TAETORD,Order of Element within Arm,Num,integer,8,3,Yes,IDENTIFIER,,Assigned,,,
TA,Trial Arms,One record per planned Element per Arm,6,ETCD,Element Code,Char,text,200,,Yes,RECORD QUALIFIER,ETCD,Assigned,,,
TA,Trial Arms,One record per planned Element per Arm,7,ELEMENT,Description of Element,Char,text,200,,No,SYNONYM QUALIFIER,ELEMENT,Protocol,,,
TA,Trial Arms,One record per planned Element per Arm,8,TABRANCH,Branch,Char,text,200,,No,RULE,,Protocol,,,
TA,Trial Arms,One record per planned Element per Arm,9,TATRANS,Transition Rule,Char,text,200,,No,RULE,,Protocol,,,
TA,Trial Arms,One record per planned Element per Arm,10,EPOCH,Epoch,Char,text,200,,Yes,TIMING,EPOCH,Protocol,,,
TE,Trial Elements,One record per planned Element,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
TE,Trial Elements,One record per planned Element,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
TE,Trial Elements,One record per planned Element,3,ETCD,Element Code,Char,text,200,2,Yes,TOPIC,ETCD,Assigned,,,
TE,Trial Elements,One record per planned Element,4,ELEMENT,Description of Element,Char,text,200,,Yes,SYNONYM QUALIFIER,ELEMENT,Protocol,,,
TE,Trial Elements,One record per planned Element,5,TESTRL,Rule for Start of Element,Char,text,200,,Yes,RULE,,Protocol,,,
TE,Trial Elements,One record per planned Element,6,TEENRL,Rule for End of Element,Char,text,200,,No,RULE,,Protocol,,,
TE,Trial Elements,One record per planned Element,7,TEDUR,Planned Duration of Element,Char,text,200,,No,TIMING,,Protocol,,,
TI,Trial Inclusion/ Exclusion Criteria,One record per I/E criterion,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
TI,Trial Inclusion/ Exclusion Criteria,One record per I/E criterion,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
TI,Trial Inclusion/ Exclusion Criteria,One record per I/E criterion,3,IETESTCD,Incl/Excl Criterion Short Name,Char,text,16,2,Yes,TOPIC,IETESTCD,Assigned,,,
TI,Trial Inclusion/ Exclusion Criteria,One record per I/E criterion,4,IETEST,Inclusion/Exclusion Criterion,Char,text,166,,Yes,SYNONYM QUALIFIER,IETEST,"CRF Pages 1, 2, 3, 4, 5, 6",,,
TI,Trial Inclusion/ Exclusion Criteria,One record per I/E criterion,5,IECAT,Inclusion/Exclusion Category,Char,text,9,,Yes,GROUPING QUALIFIER,IECAT,Assigned,,,
TI,Trial Inclusion/ Exclusion Criteria,One record per I/E criterion,6,TIRL,Inclusion/Exclusion Criterion Rule,Char,text,40,,No,RULE,,Assigned,"TIRL= "" """,,
TS,Trial Summary,One record per trial summary parameter value,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
TS,Trial Summary,One record per trial summary parameter value,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
TS,Trial Summary,One record per trial summary parameter value,3,TSSEQ,Sequence Number,Num,integer,8,3,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each TSPARMCD,,
TS,Trial Summary,One record per trial summary parameter value,4,TSPARMCD,Trial Summary Parameter Short Name,Char,text,200,2,Yes,TOPIC,,Assigned,,,
TS,Trial Summary,One record per trial summary parameter value,5,TSPARM,Trial Summary Parameter,Char,text,200,,Yes,SYNONYM QUALIFIER,,Protocol,,,
TS,Trial Summary,One record per trial summary parameter value,6,TSVAL,Parameter Value,Char,text,200,,Yes,RESULT QUALIFIER,,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
TV,Trial Visits,One record per planned Visit per Arm,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
TV,Trial Visits,One record per planned Visit per Arm,3,VISITNUM,Visit Number,Num,float,8,2,Yes,TOPIC,VISITNUM,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,4,VISIT,Visit Name,Char,text,90,,No,SYNONYM QUALIFIER,VISIT,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,5,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,6,ARMCD,Planned Arm Code,Char,text,8,,No,RECORD QUALIFIER,ARMCD,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,7,ARM,Description of Planned Arm,Char,text,20,,No,SYNONYM QUALIFIER,ARM,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,8,TVSTRL,Visit Start Rule,Char,text,200,,Yes,RULE,,Protocol,,,
TV,Trial Visits,One record per planned Visit per Arm,9,TVENRL,Visit End Rule,Char,text,200,,No,RULE,,Protocol,,,
DM,Demographics,One record per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
DM,Demographics,One record per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
DM,Demographics,One record per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
DM,Demographics,One record per subject,4,SUBJID,Subject Identifier for the Study,Char,text,4,,Yes,TOPIC,,CRF Page 7,,,
DM,Demographics,One record per subject,5,RFSTDTC,Subject Reference Start Date/Time,Char,date,10,,No,RECORD QUALIFIER,,Derived,Date/time of first study drug treatment derived from EX,,
DM,Demographics,One record per subject,6,RFENDTC,Subject Reference End Date/Time,Char,date,10,,No,RECORD QUALIFIER,,Derived,Date/time of last study drug treatment derived from EX,,
DM,Demographics,One record per subject,7,RFXSTDTC,Date/Time of First Study Treatment,Char,datetime,20,,No,RECORD QUALIFIER,,Derived,RFXSTDTC=RFSTDTC,,
