dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
TA,Trial Arms,One record per planned Element per Arm,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
TA,Trial Arms,One record per planned Element per Arm,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
TA,Trial Arms,One record per planned Element per Arm,3,ARMCD,Planned Arm Code,Char,text,8,2,Yes,Topic,ARMCD,Assigned,,Req,unchanged
TA,Trial Arms,One record per planned Element per Arm,4,ARM,Description of Planned Arm,Char,text,20,,Yes,Synonym Qualifier,ARM,Protocol,,Req,unchanged
TA,Trial Arms,One record per planned Element per Arm,5,TAETORD,Planned Order of Element within Arm,Num,integer,8,3,Yes,Timing,,Assigned,,Req,label 'Order of Element within Arm' -> 'Planned Order of Element within Arm'
TA,Trial Arms,One record per planned Element per Arm,6,ETCD,Element Code,Char,text,200,,Yes,Record Qualifier,ETCD,Assigned,,Req,unchanged
TA,Trial Arms,One record per planned Element per Arm,7,ELEMENT,Description of Element,Char,text,200,,No,Synonym Qualifier,ELEMENT,Protocol,,Perm,unchanged
TA,Trial Arms,One record per planned Element per Arm,8,TABRANCH,Branch,Char,text,200,,No,Rule,,Protocol,,Exp,unchanged
TA,Trial Arms,One record per planned Element per Arm,9,TATRANS,Transition Rule,Char,text,200,,No,Rule,,Protocol,,Exp,unchanged
TA,Trial Arms,One record per planned Element per Arm,10,EPOCH,Epoch,Char,text,200,,Yes,Timing,EPOCH,Protocol,,Req,unchanged
TE,Trial Elements,One record per planned Element,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
TE,Trial Elements,One record per planned Element,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
TE,Trial Elements,One record per planned Element,3,ETCD,Element Code,Char,text,200,2,Yes,Topic,ETCD,Assigned,,Req,unchanged
TE,Trial Elements,One record per planned Element,4,ELEMENT,Description of Element,Char,text,200,,Yes,Synonym Qualifier,ELEMENT,Protocol,,Req,unchanged
TE,Trial Elements,One record per planned Element,5,TESTRL,Rule for Start of Element,Char,text,200,,Yes,Rule,,Protocol,,Req,unchanged
TE,Trial Elements,One record per planned Element,6,TEENRL,Rule for End of Element,Char,text,200,,No,Rule,,Protocol,,Perm,unchanged
TE,Trial Elements,One record per planned Element,7,TEDUR,Planned Duration of Element,Char,text,200,,No,Timing,,Protocol,,Perm,unchanged
TV,Trial Visits,One record per planned Visit per Arm,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
TV,Trial Visits,One record per planned Visit per Arm,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
TV,Trial Visits,One record per planned Visit per Arm,3,VISITNUM,Visit Number,Num,float,8,2,Yes,Topic,VISITNUM,Protocol,,Req,unchanged
TV,Trial Visits,One record per planned Visit per Arm,4,VISIT,Visit Name,Char,text,90,,Yes,Synonym Qualifier,VISIT,Protocol,,Req,core Perm -> Req
TV,Trial Visits,One record per planned Visit per Arm,5,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,Timing,,Protocol,,Perm,unchanged
TV,Trial Visits,One record per planned Visit per Arm,6,ARMCD,Planned Arm Code,Char,text,8,,No,Record Qualifier,ARMCD,Protocol,,Exp,unchanged
TV,Trial Visits,One record per planned Visit per Arm,7,ARM,Description of Planned Arm,Char,text,20,,No,Synonym Qualifier,ARM,Protocol,,Perm,unchanged
